Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DHI Perez Units,DNI Units,DNI Perez Units,GHI Units,GHI Perez Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
SUNY,28265,-,-,India,26.55,75.55,5.5,0,5.5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,m,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,unknown
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Snow Depth,Wind Direction,Wind Speed,Fill Flag,,,,,,,,,,,,,,
2014,1,3,10,30,262,66,298,200,564,503,-1,19.9098934033,978.680847168,23.8229476839,57.5404032065,1.6404000532,0,153.3822021484,0.8878257275,0,,,,,,,,,,,,,,
2014,1,3,11,30,299,71,344,220,617,604,0,21.4377860984,977.6784057617,23.1500427491,51.6132267114,1.6707106839,0,155.6040649414,0.8137820363,0,,,,,,,,,,,,,,
2014,1,3,12,30,191,7,196,226,634,640,0,22.2653715093,976.3957519531,23.6569459242,49.3728550168,1.7071174955,0,156.4322814941,0.7537851334,0,,,,,,,,,,,,,,
2014,1,3,13,30,315,132,398,220,618,607,1,22.6090358349,975.6376953125,24.9836110952,51.3068157227,1.7543491376,0,155.0864257813,0.7015578151,0,,,,,,,,,,,,,,
2014,1,3,14,30,206,9,211,202,566,510,2,22.1899217709,975.0501098633,27.2595906804,56.9901574374,1.8007153975,0,154.642791748,0.7138695121,0,,,,,,,,,,,,,,
2014,1,3,15,30,126,0,126,166,466,360,3,21.0073734959,974.6289672852,30.8591617466,65.4487877137,1.830707154,0,150.2111358643,0.7227115631,0,,,,,,,,,,,,,,
2014,1,3,16,30,67,0,67,107,292,178,7,18.7254269897,974.7709350586,47.0470624246,75.7516452107,1.8431261127,0,132.2158660889,0.910089314,0,,,,,,,,,,,,,,
2014,1,3,17,30,3,0,3,14,34,16,4,16.7316340552,974.9255981445,44.3338701654,87.237382239,1.8460762621,0,117.2559127808,1.3153067827,0,,,,,,,,,,,,,,
2014,1,3,18,30,0,0,0,0,0,0,4,15.91709771,975.2190551758,45.8936804473,99.4906595542,1.8501326906,0,112.484664917,1.725466609,0,,,,,,,,,,,,,,
2014,1,3,19,30,0,0,0,0,0,0,4,15.3348339461,975.5075073242,49.7401283256,112.2414221256,1.8560870271,0,112.20677948,2.0319492817,0,,,,,,,,,,,,,,
2014,1,3,20,30,0,0,0,0,0,0,5,15.3095391868,975.4844970703,51.605660841,125.3212087739,1.8690171757,0,111.0052642822,2.1880040169,0,,,,,,,,,,,,,,
2014,1,3,21,30,0,0,0,0,0,0,5,15.2798130582,975.5137939453,52.2562690346,138.6107617101,1.902657946,0,109.7943878174,2.2461309433,0,,,,,,,,,,,,,,
2014,1,3,22,30,0,0,0,0,0,0,5,15.0803348665,974.9832763672,52.9782189033,152.0080391289,1.9724990856,0,109.4674377441,2.2126069069,0,,,,,,,,,,,,,,
2014,1,3,23,30,0,0,0,0,0,0,5,14.8619134991,974.6596069336,54.4946720472,165.3404379695,2.0607722839,0,109.1651916504,2.1371173859,0,,,,,,,,,,,,,,
2014,1,4,0,30,0,0,0,0,0,0,6,14.5711556202,974.4665527344,56.6799685802,176.1807573196,2.1481429674,0,109.4173812866,2.0332186222,0,,,,,,,,,,,,,,
2014,1,4,1,30,0,0,0,0,0,0,6,14.1467676127,974.1643676758,59.2971639584,166.3948326199,2.2204434768,0,109.2034988403,1.9610943794,0,,,,,,,,,,,,,,
2014,1,4,2,30,0,0,0,0,0,0,6,13.7397659118,973.7744140625,62.5532199071,153.0854722394,2.2554311573,0,110.0119628906,1.7684909105,0,,,,,,,,,,,,,,
